id,word,sentence,title,source
règle_0,règle,"Ainsi, quand on se réfère à la règle d'un type particulier qui régit les comportements des hommes en société, il s'agit du droit objectif.",Droit,wikipedia_api
règle_1,règle,"Il importe cependant de nuancer le caractère obligatoire de la règle de droit, avec l'avènement du droit mou (la soft law en anglais), qui prend différentes formes des moins aux plus contraignantes.",Droit,wikipedia_api
règle_2,règle,"Cependant, le droit mou se retrouve principalement en droit international, caractérisé par la souveraineté des États et l'absence de force obligatoire de la règle de droit.",Droit,wikipedia_api
règle_3,règle,"Dans la tradition catholique, le chapitre d'un ordre ou d'une congrégation religieuse est l'assemblée des religieux, clercs, frères ou religieuses, réunie dans des conditions et pour des raisons définies par la règle.",Chapitre de religieux,wikipedia_api
règle_4,règle,"Le mot chapitre a son origine dans la réunion quotidienne des moines au début de laquelle un chapitre (capitulum) de la règle de saint Benoît était lu, puis commenté par le père abbé.",Chapitre de religieux,wikipedia_api
règle_5,règle,"Saint Benoît connaissait cependant les unions pacômites, car il fit des emprunts à la règle de saint Pacôme.",Chapitre de religieux,wikipedia_api
règle_6,règle,"Jusqu'à la fin du VIIIe siècle, il ne semble pas qu'il y ait eu de tentative de quelque étendue pour modifier ou développer la conception de saint Benoît quant aux relations ou plutôt à l'absence de relations entre les monastères où sa règle était suivie.",Chapitre de religieux,wikipedia_api
règle_7,règle,"Lors de cette séance, un extrait de la règle est lu et expliqué par l'abbé.",Chapitre de religieux,wikipedia_api
règle_8,règle,"Puis, lecture de la règle avec commentaire par le président de la séance ou par un autre moine désigné.",Chapitre de religieux,wikipedia_api
règle_9,règle,"Avant de s'accuser, le moine coupable se prosterne puis sur l'ordre du prieur il se relève et énumère ses coulpes, c'est-à-dire les fautes extérieures de désobéissance à la règle.",Chapitre de religieux,wikipedia_api
règle_10,règle,"Par exemple, la règle de saint Benoît distingue les fautes légères et les fautes graves et assigne à chaque espèce une ou plusieurs sanctions.",Chapitre de religieux,wikipedia_api
règle_11,règle,La règle de saint Pacôme n'y fait pas allusion.,Chapitre de religieux,wikipedia_api
règle_12,règle,Le concile mena à la fondation de l'ordre du Temple et le dota d'une règle propre.,Ordre du Temple,wikipedia_api
règle_13,règle,"Celle-ci prit pour base la règle de saint Benoît (présence des cisterciens Bernard de Clairvaux et Étienne Harding, fondateur de Cîteaux) avec néanmoins quelques emprunts à la règle de saint Augustin, que suivaient le Saint-Sépulcre aux côtés desquels vécurent les premiers Templiers.",Ordre du Temple,wikipedia_api
règle_14,règle,"Une fois la règle adoptée, elle devait encore être soumise à Étienne de Chartres, patriarche de Jérusalem.",Ordre du Temple,wikipedia_api
règle_15,règle,La règle de l'ordre du Temple faisait quelques emprunts à la règle de saint Augustin mais s'inspirait en majeure partie de la règle de saint Benoît suivie par les moines bénédictins.,Ordre du Temple,wikipedia_api
règle_16,règle,"Par ailleurs, la règle était adaptée à la bipolarité de l'Ordre, ainsi certains articles concernaient aussi bien la vie en Occident (conventuelle) que la vie en Orient (militaire).",Ordre du Temple,wikipedia_api
règle_17,règle,"La règle primitive (ou latine car rédigée en latin), écrite en 1128, fut annexée au procès-verbal du concile de Troyes en 1129 et contenait soixante-douze articles.",Ordre du Temple,wikipedia_api
règle_18,règle,"Toutefois, vers 1138, sous la maîtrise de Robert de Craon, deuxième maître de l'Ordre (1136-1149), la règle primitive fut traduite en français et modifiée.",Ordre du Temple,wikipedia_api
règle_19,règle,"Par la suite, à différentes dates, la règle fut étoffée par l'ajout de six cent neuf retraits ou articles statutaires, notamment à propos de la hiérarchie et de la justice au sein de l'Ordre.",Ordre du Temple,wikipedia_api
règle_20,règle,"» — (extrait de l’article 668) Organisation territoriale Comme tout ordre religieux, les Templiers étaient dotés de leur propre règle et cette règle évoluait sous forme de retraits (articles statutaires) à l'occasion des chapitres généraux.",Ordre du Temple,wikipedia_api
règle_21,règle,C'est l'article 87 des retraits de la règle qui nous indique la répartition territoriale initiale des provinces.,Ordre du Temple,wikipedia_api
règle_22,règle,"Hiérarchie Les Templiers étaient organisés comme un ordre monastique, suivant la règle créée pour eux par Bernard de Clairvaux.",Ordre du Temple,wikipedia_api
règle_23,règle,"Dans la règle et les retraits de l'Ordre, il est appelé Li Maistre et un grand nombre de dignitaires de la hiérarchie pouvaient être appelés ainsi sans l'adjonction d'un qualificatif particulier.",Ordre du Temple,wikipedia_api
règle_24,règle,"Tenues des chapitres Un chapitre (latin : capitulum, diminutif de caput, sens premier : « tête ») est une partie d'un livre qui a donné son nom à la réunion de religieux dans un monastère durant laquelle étaient lus des passages des textes sacrés ainsi que des articles de la règle.",Ordre du Temple,wikipedia_api
règle_25,règle,"L'usage vient de la règle de saint Benoît qui demandait la lecture fréquente d'un passage de la règle à toute la communauté réunie (RB § 66, 8).",Ordre du Temple,wikipedia_api
règle_26,règle,L'article 119 des retraits de la Règle indique que « tous les vaisseaux de mer qui sont de la maison d'Acre sont au commandement du commandeur de la terre.,Ordre du Temple,wikipedia_api
règle_27,règle,"Habit La reconnaissance de l'ordre du Temple ne passait pas seulement par l'élaboration d'une règle et d'un nom, mais aussi par l'attribution d'un code vestimentaire particulier propre à l'ordre du Temple.",Ordre du Temple,wikipedia_api
règle_28,règle,"L'habit lui appartenait, et dans l'esprit de la règle, le manteau ne devait pas être un objet de vanité.",Ordre du Temple,wikipedia_api
règle_29,règle,La règle de l'Ordre et ses retraits ne faisaient pas référence à cette croix.,Ordre du Temple,wikipedia_api
rose_0,rose,"Marie Josèphe Rose de Tascher de La Pagerie, dite Joséphine de Beauharnais, née le 23 juin 1763 aux Trois-Îlets en Martinique et morte le 29 mai 1814 au château de Malmaison à Rueil-Malmaison, est la première épouse de l’empereur Napoléon Ier de 1796 à 1809.",Joséphine de Beauharnais,wikipedia_api
rose_1,rose,"Du temps de son mariage avec Alexandre de Beauharnais, elle se prénomme Marie Josèphe Rose.",Joséphine de Beauharnais,wikipedia_api
rose_2,rose,"On pourrait donc aussi bien parler de « Joséphine Bonaparte », « Rose de Tascher », « Rose Tascher de La Pagerie » ou « Rose de Beauharnais ».",Joséphine de Beauharnais,wikipedia_api
rose_3,rose,"Biographie Naissance et jeunesse en Martinique Marie Josèphe Rose de Tascher de La Pagerie naît le 23 juin 1763 dans l'habitation sucrière (plantation) de ses parents, la Petite Guinée, située dans la paroisse du Cul-de-sac-à-vaches, dans l'actuelle commune des Trois-Îlets, en Martinique.",Joséphine de Beauharnais,wikipedia_api
rose_4,rose,Elle est la fille aînée de Joseph-Gaspard de Tascher de La Pagerie et de Rose Claire des Vergers de Sannois.,Joséphine de Beauharnais,wikipedia_api
rose_5,rose,"De son côté, Rose des Vergers de Sannois est la fille unique d'une famille de planteurs, fondateurs de la propriété de la Petite Guinée en 1730.",Joséphine de Beauharnais,wikipedia_api
rose_6,rose,C'est là que grandit Marie-Josèphe-Rose.,Joséphine de Beauharnais,wikipedia_api
rose_7,rose,"Durant sa jeunesse, Marie-Josèphe-Rose, affectueusement surnommée « Yeyette » par ses parents, reçoit les soins de sa nourrice, Gertrude, avant d'être envoyée à l'âge de dix ans avec sa sœur cadette, Catherine-Désirée, chez les sœurs de la Providence à Fort-Royal.",Joséphine de Beauharnais,wikipedia_api
rose_8,rose,"Qu'on la nomme Rose ou Joséphine, elle triche durant toute sa vie sur la date de sa naissance pour se rajeunir.",Joséphine de Beauharnais,wikipedia_api
rose_9,rose,"Conduite par son père en métropole, Marie-Josèphe-Rose quitte son île natale à la fin du mois d'août 1779, à bord de la flûte Isle de France.",Joséphine de Beauharnais,wikipedia_api
rose_10,rose,"Durant le trajet vers la France et jusqu'à la fin de sa vie, Marie-Josèphe-Rose est accompagnée d'Euphémie, domestique dévouée et supposée demi-sœur « mulâtresse », pour laquelle elle gardera toujours une grande affection.",Joséphine de Beauharnais,wikipedia_api
rose_11,rose,"Marie-Josèphe-Rose, désormais vicomtesse, jouit d'une aisance qu'elle n'a encore jamais connue.",Joséphine de Beauharnais,wikipedia_api
rose_12,rose,"(en) Andrea Stuart, The Rose of Martinique: A Biography of Napoleon's Josephine.",Joséphine de Beauharnais,wikipedia_api
rose_13,rose,Le leader de son classement général porte un maillot rose évoquant la couleur du papier utilisé par ce quotidien.,Tour d'Italie,wikipedia_api
rose_14,rose,Cette dernière est notamment marquée par l’apparition du maillot rose (Maglia rosa) de leader du classement général.,Tour d'Italie,wikipedia_api
rose_15,rose,"Pour son retour sur les routes italiennes, Binda prend le maillot rose en remportant la 3e et la 4e étape, mais est victime d’une chute dans les alentours de l'hippodrome de Villa Glori dans la 7e étape reliant Rome à Pérouse, qui le contraint à l’abandon le jour suivant.",Tour d'Italie,wikipedia_api
rose_16,rose,"Il laisse ainsi la victoire finale à Francesco Camusso (vainqueur d’une étape), qui devient le premier coureur de l’histoire du Giro à ramener le maillot rose à Milan.",Tour d'Italie,wikipedia_api
rose_17,rose,"Hermann Buse, vainqueur de la deuxième étape, devient le premier non-Italien à revêtir le maillot rose, qu’il perd à l’issue de la septième étape au profit de Pesenti.",Tour d'Italie,wikipedia_api
rose_18,rose,"Contrairement à l’année précédente, le Giro est dominé une nouvelle fois par Binda, revenu au meilleur de sa forme en s’adjugeant le classement général, le Grand Prix de la montagne, six étapes, et treize jours en rose.",Tour d'Italie,wikipedia_api
rose_19,rose,"Cependant, Francesco Camusso termine à seulement 51 secondes au classement général après avoir perdu son maillot rose lors du contre-la-montre individuel.",Tour d'Italie,wikipedia_api
rose_20,rose,"À L'Aquila, Gino Bartali remporte sa deuxième victoire sur le Giro et endosse le maillot rose, qu’il conforte en gagnant deux autres étapes.",Tour d'Italie,wikipedia_api
rose_21,rose,"Ils remportent tous deux quatre étapes, mais c’est finalement Valetti qui s’impose pour la deuxième année consécutive après avoir récupéré le maillot rose à l’issue de la 16e des 17 étapes.",Tour d'Italie,wikipedia_api
rose_22,rose,Coppi fait la différence sur ses rivaux dans l’ascension d’Abetone et gagne après 100 km passés en solitaire qui lui permettent de s’emparer du maillot rose.,Tour d'Italie,wikipedia_api
rose_23,rose,"Lors de cette édition, Raphaël Géminiani devient le premier Français à endosser le maillot rose.",Tour d'Italie,wikipedia_api
rose_24,rose,"Plus de 60 coureurs abandonnent, dont le maillot rose Pasquale Fornara.",Tour d'Italie,wikipedia_api
rose_25,rose,"Cette victoire lui permet de reprendre le maillot rose, qu'il conservera jusqu'à Milan.",Tour d'Italie,wikipedia_api
